-1,-1,-1,0.67
-1,-1,-0.8,0.662
-1,-1,-0.6,0.654
-1,-1,-0.4,0.646
-1,-1,-0.2,0.638
-1,-1,0,0.63
-1,-1,0.2,0.622
-1,-1,0.4,0.614
-1,-1,0.6,0.606
-1,-1,0.8,0.598
-1,-1,1,0.59
-1,-0.8,-1,0.682
-1,-0.8,-0.8,0.6759
-1,-0.8,-0.6,0.6698
-1,-0.8,-0.4,0.6637
-1,-0.8,-0.2,0.6576
-1,-0.8,0,0.6515
-1,-0.8,0.2,0.6454
-1,-0.8,0.4,0.6393
-1,-0.8,0.6,0.6332
-1,-0.8,0.8,0.6271
-1,-0.8,1,0.621
-1,-0.6,-1,0.694
-1,-0.6,-0.8,0.6898
-1,-0.6,-0.6,0.6856
-1,-0.6,-0.4,0.6814
-1,-0.6,-0.2,0.6772
-1,-0.6,0,0.673
-1,-0.6,0.2,0.6688
-1,-0.6,0.4,0.6646
-1,-0.6,0.6,0.6604
-1,-0.6,0.8,0.6562
-1,-0.6,1,0.652
-1,-0.4,-1,0.706
-1,-0.4,-0.8,0.7037
-1,-0.4,-0.6,0.7014
-1,-0.4,-0.4,0.6991
-1,-0.4,-0.2,0.6968
-1,-0.4,0,0.6945
-1,-0.4,0.2,0.6922
-1,-0.4,0.4,0.6899
-1,-0.4,0.6,0.6876
-1,-0.4,0.8,0.6853
-1,-0.4,1,0.683
-1,-0.2,-1,0.718
-1,-0.2,-0.8,0.7176
-1,-0.2,-0.6,0.7172
-1,-0.2,-0.4,0.7168
-1,-0.2,-0.2,0.7164
-1,-0.2,0,0.716
-1,-0.2,0.2,0.7156
-1,-0.2,0.4,0.7152
-1,-0.2,0.6,0.7148
-1,-0.2,0.8,0.7144
-1,-0.2,1,0.714
-1,0,-1,0.73
-1,0,-0.8,0.7315
-1,0,-0.6,0.733
-1,0,-0.4,0.7345
-1,0,-0.2,0.736
-1,0,0,0.7375
-1,0,0.2,0.739
-1,0,0.4,0.7405
-1,0,0.6,0.742
-1,0,0.8,0.7435
-1,0,1,0.745
-1,0.2,-1,0.742
-1,0.2,-0.8,0.7454
-1,0.2,-0.6,0.7488
-1,0.2,-0.4,0.7522
-1,0.2,-0.2,0.7556
-1,0.2,0,0.759
-1,0.2,0.2,0.7624
-1,0.2,0.4,0.7658
-1,0.2,0.6,0.7692
-1,0.2,0.8,0.7726
-1,0.2,1,0.776
-1,0.4,-1,0.754
-1,0.4,-0.8,0.7593
-1,0.4,-0.6,0.7646
-1,0.4,-0.4,0.7699
-1,0.4,-0.2,0.7752
-1,0.4,0,0.7805
-1,0.4,0.2,0.7858
-1,0.4,0.4,0.7911
-1,0.4,0.6,0.7964
-1,0.4,0.8,0.8017
-1,0.4,1,0.807
-1,0.6,-1,0.766
-1,0.6,-0.8,0.7732
-1,0.6,-0.6,0.7804
-1,0.6,-0.4,0.7876
-1,0.6,-0.2,0.7948
-1,0.6,0,0.802
-1,0.6,0.2,0.8092
-1,0.6,0.4,0.8164
-1,0.6,0.6,0.8236
-1,0.6,0.8,0.8308
-1,0.6,1,0.838
-1,0.8,-1,0.778
-1,0.8,-0.8,0.7871
-1,0.8,-0.6,0.7962
-1,0.8,-0.4,0.8053
-1,0.8,-0.2,0.8144
-1,0.8,0,0.8235
-1,0.8,0.2,0.8326
-1,0.8,0.4,0.8417
-1,0.8,0.6,0.8508
-1,0.8,0.8,0.8599
-1,0.8,1,0.869
-1,1,-1,0.79
-1,1,-0.8,0.801
-1,1,-0.6,0.812
-1,1,-0.4,0.823
-1,1,-0.2,0.834
-1,1,0,0.845
-1,1,0.2,0.856
-1,1,0.4,0.867
-1,1,0.6,0.878
-1,1,0.8,0.889
-1,1,1,0.9
-0.8,-1,-1,0.664
-0.8,-1,-0.8,0.6559
-0.8,-1,-0.6,0.6478
-0.8,-1,-0.4,0.6397
-0.8,-1,-0.2,0.6316
-0.8,-1,0,0.6235
-0.8,-1,0.2,0.6154
-0.8,-1,0.4,0.6073
-0.8,-1,0.6,0.5992
-0.8,-1,0.8,0.5911
-0.8,-1,1,0.583
-0.8,-0.8,-1,0.6762
-0.8,-0.8,-0.8,0.67002
-0.8,-0.8,-0.6,0.66384
-0.8,-0.8,-0.4,0.65766
-0.8,-0.8,-0.2,0.65148
-0.8,-0.8,0,0.6453
